Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.59     0.00   240482     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > >, std::_Select1st<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::key_comp() const
  0.00      0.59     0.00   221807     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.59     0.00   218279     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::end()
  0.00      0.59     0.00   210264     0.00     0.00  std::_Rb_tree_node<Edge*>* std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_clone_node<std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_Alloc_node>(std::_Rb_tree_node<Edge*> const*, std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_Alloc_node&)
  0.00      0.59     0.00   210264     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.59     0.00   184354     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.59     0.00   184354     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Val_less_iter)
  0.00      0.59     0.00   174401     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::deallocate(std::_Rb_tree_node<int>*, unsigned long)
  0.00      0.59     0.00   174401     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::destroy<int>(int*)
  0.00      0.59     0.00   174401     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::allocate(unsigned long, void const*)
